,Time,Raw Data (mV),Averaged data (20 samples)
,8.50203382,-22.98654,-22.2345655
,8.50270049,-23.83801,-22.331309
,8.50336716,-21.70476,-22.281106
,8.50403383,-22.19306,-22.4469745
,8.50470051,-22.56233,-22.6042975
,8.50536718,-22.01605,-22.5890385
,8.50603385,-20.29176,-22.681815
,8.50670052,-21.95807,-22.8516505
,8.50736719,-23.92346,-22.876065
,8.50803387,-20.66714,-22.8038885
,8.50870054,-21.38737,-22.9007845
,8.50936721,-19.2053,-22.9970705
,8.51003388,-22.14118,-23.179266
,8.51070055,-23.6549,-23.143712
,8.51136723,-20.11475,-23.1322675
,8.5120339,-24.11267,-23.312479
,8.51270057,-24.00586,-23.1812495
,8.51336724,-23.10251,-23.1160925
,8.51403391,-22.61422,-23.069399
,8.51470059,-22.21137,-23.027741
,8.51536726,-24.92141,-23.0706195
,8.51603393,-22.83395,-22.9650255
,8.5167006,-25.02213,-23.063295
,8.51736727,-25.33952,-22.9113125
,8.51803395,-22.25715,-22.815942
,8.51870062,-23.87158,-23.0217895
,8.51936729,-23.68847,-22.878505
,8.52003396,-22.44636,-22.9302335
,8.52070063,-22.47993,-23.0481875
,8.52136731,-22.60506,-23.132724
,8.52203398,-23.31309,-23.2811965
,8.52270065,-22.84921,-23.2598335
,8.52336732,-21.4301,-23.3675635
,8.52403399,-23.42601,-23.4978775
,8.52470067,-23.71898,-23.4191395
,8.52536734,-21.48808,-23.464002
,8.52603401,-22.70272,-23.5068805
,8.52670068,-22.16864,-23.431805
,8.52736735,-21.78106,-23.4879595
,8.52803403,-23.06894,-23.4859755
,8.5287007,-22.80953,-23.4698005
,8.52936737,-24.79934,-23.4148675
,8.53003404,-21.98248,-23.2451845
,8.53070071,-23.43211,-23.306832
,8.53136739,-26.3741,-23.1969655
,8.53203406,-21.00589,-23.0571905
,8.53270073,-24.72304,-23.135318
,8.5333674,-24.80544,-23.0228575
,8.53403407,-24.17066,-22.872249
,8.53470075,-25.57451,-22.7784045
,8.53536742,-22.88583,-22.606738
,8.53603409,-25.00381,-22.5749985
,8.53670076,-24.03638,-22.3343605
,8.53736743,-21.85125,-22.317575
,8.53803411,-24.61623,-22.375713
,8.53870078,-22.34565,-22.133854
,8.53936745,-21.20121,-22.1198155
,8.54003412,-23.29173,-22.041383
,8.54070079,-21.74138,-21.9429605
,8.54136747,-22.74544,-21.8636125
,8.54203414,-21.71087,-21.6096985
,8.54270081,-21.40568,-21.6179385
,8.54336748,-23.21543,-21.3913385
,8.54403415,-21.23478,-21.145054
,8.54470083,-23.5786,-20.985442
,8.5453675,-22.56844,-20.563676
,8.54603417,-22.47383,-20.3218165
,8.54670084,-21.79327,-20.0166315
,8.54736751,-22.29377,-19.8158195
,8.54803419,-22.14118,-19.4215205
,8.54870086,-22.25104,-19.083833
,8.54936753,-20.19105,-18.7208155
,8.5500342,-23.70067,-18.3960985
,8.55070087,-23.01401,-17.8460025
,8.55136755,-19.77905,-17.44621
,8.55203422,-22.06488,-17.3114705
,8.55270089,-19.63256,-16.796318
,8.55336756,-21.32328,-16.5181415
,8.55403423,-20.15442,-16.0913405
,8.55470091,-17.66716,-15.700704
,8.55536758,-21.87567,-15.389263
,8.55603425,-16.87368,-14.72502755
,8.55670092,-18.28974,-14.54359505
,8.55736759,-18.04254,-13.99761905
,8.55803427,-15.14328,-13.48246675
,8.55870094,-17.73125,-13.1475263
,8.55936761,-16.37013,-12.5049593
,8.56003428,-17.77703,-12.00643935
,8.56070095,-14.40779,-11.2678915
,8.56136763,-15.38743,-10.82003225
,8.5620343,-14.99069,-10.258797
,8.56270097,-13.69671,-9.6118047
,8.56336764,-12.69875,-9.0556047
,8.56403431,-15.01816,-8.53221235
,8.56470099,-17.08426,-7.824793225
,8.56536766,-11.76183,-7.031464625
,8.56603433,-14.06903,-6.507156825
,8.566701,-12.78726,-5.78615718
,8.56736767,-12.34169,-5.04242088
,8.56803435,-11.43834,-4.27457493
,8.56870102,-8.590961,-3.63292313
,8.56936769,-13.24503,-3.02285813
,8.57003436,-7.37022,-2.12790303
,8.57070103,-7.739494,-1.60206913
,8.57136771,-8.444471,-0.97216708
,8.57203438,-4.87991,-0.19898068
,8.57270105,-6.399731,0.44450212
,8.57336772,-3.006073,1.14368112
,8.57403439,-5.450605,1.77205722
,8.57470107,-4.162725,2.45521397
,8.57536774,-2.050844,3.20841072
,8.57603441,-2.57271,3.87798692
,8.57670108,-2.230903,4.77324742
,8.57736775,-0.8697775,5.60060407
,8.57803443,-1.217688,6.413159445
,8.5787011,-1.275674,7.300332345
,8.57936777,0.3509629,8.214972045
,8.58003444,2.087466,9.1019924
,8.58070112,3.015229,9.8811301
,8.58136779,1.394696,10.73366465
,8.58203446,3.610339,11.73238285
,8.58270113,4.654072,12.5066374
,8.5833678,3.146458,13.4054073
,8.58403448,4.858547,14.3206574
,8.58470115,7.019257,15.19287655
,8.58536782,7.989746,16.0092467
,8.58603449,7.583849,16.8228699
,8.58670116,9.561449,17.70958545
,8.58736784,8.21253,18.4566785
,8.58803451,10.90121,19.344004
,8.58870118,11.34068,20.2606275
,8.58936785,15.3325,21.097445
,8.59003452,14.31623,21.7339085
,8.5907012,15.38133,22.5470745
,8.59136787,16.52577,23.2380135
,8.59203454,17.01712,23.8784445
,8.59270121,18.09137,24.737388
,8.59336788,17.67022,25.489517
,8.59403456,20.06592,26.392407
,8.59470123,21.36906,27.0722065
,8.5953679,19.09543,27.8579055
,8.59603457,22.62947,28.859218
,8.59670124,21.45146,29.5561085
,8.59736792,22.30293,30.457778
,8.59803459,23.34666,31.300394
,8.59870126,24.26221,32.165136
,8.59936793,25.31816,32.9900515
,8.6000346,24.50331,33.664968
,8.60070128,25.95904,34.5931885
,8.60136795,29.23368,35.27131
,8.60203462,28.07703,35.842006
,8.60270129,28.06177,36.503342
,8.60336796,30.57955,37.2327345
,8.60403464,29.20011,37.87286
,8.60470131,29.33439,38.541826
,8.60536798,34.19599,39.347667
,8.60603465,33.13395,39.8780785
,8.60670132,35.72802,40.454573
,8.607368,33.66191,40.377666
,8.60803467,37.08304,41.173131
,8.60870134,39.12168,41.69454
,8.60936801,36.56728,42.1309545
,8.61003468,39.48485,42.827234
,8.61070136,39.15525,43.3632915
,8.61136803,40.6415,45.378734
,8.6120347,40.76052,45.828119
,8.61270137,38.81649,46.364024
,8.61336804,43.06772,46.9522685
,8.61403472,39.52147,47.2307495
,8.61470139,40.6476,47.9193995
,8.61536806,41.30375,48.4257015
,8.61603473,42.64962,48.879512
,8.6167014,43.38206,49.310128
,8.61736808,42.57943,49.660328
,8.61803475,45.45121,50.105898
,8.61870142,44.80422,50.3611855
,8.61936809,44.66384,50.8200315
,8.62003476,34.18988,51.178166
,8.62070144,49.57121,52.023834
,8.62136811,47.51122,52.237769
,8.62203478,47.84997,52.5034325
,8.62270145,50.49287,52.7048545
,8.62336812,50.206,52.7864915
,8.6240348,79.4641,52.938779
,8.62470147,49.6292,51.5442355
,8.62536814,51.47862,51.727194
,8.62603481,50.58138,51.783806
,8.62670148,48.63734,52.051453
,8.62736816,53.29447,52.365031
,8.62803483,50.77364,52.3940235
,8.6287015,50.37996,52.6450385
,8.62936817,51.26194,52.856989
,8.63003484,50.38606,53.0979325
,8.63070152,51.49083,53.375956
,8.63136819,50.55696,53.494215
,8.63203486,53.98114,53.731649
,8.63270153,51.82653,53.7011305
,8.6333682,51.10324,53.789787
,8.63403488,53.84991,53.911556
,8.63470155,52.82449,53.781852
,8.63536822,51.87841,53.794975
,8.63603489,52.12561,53.845178
,8.63670156,53.25175,53.8375485
,8.63736824,51.57323,53.8525025
,8.63803491,53.28837,53.81939
,8.63870158,52.61086,53.8483825
,8.63936825,55.93432,53.7771215
,8.64003492,54.9089,53.494215
,8.6407016,53.87432,53.421581
,8.64136827,55.79394,53.315377
,8.64203494,54.61897,53.133639
,8.64270161,56.08081,53.0324705
,8.64336828,55.94653,52.8096855
,8.64403496,53.85601,52.4375125
,8.64470163,55.30564,52.335123
,8.6453683,53.37077,52.196569
,8.64603497,53.59966,52.1163055
,8.64670164,53.53862,51.9750045
,8.64736832,51.25583,51.797997
,8.64803499,53.08695,51.8851275
,8.64870166,52.88247,51.756339
,8.64936833,51.97302,51.5869615
,8.650035,53.55083,51.493575
,8.65070168,50.91098,51.2421025
,8.65136835,53.86822,51.166569
,8.65203502,51.18564,50.8249145
,8.65270169,50.27619,50.6965845
,8.65336836,53.45622,50.618152
,8.65403504,51.75024,50.174413
,8.65470171,52.15918,50.0543225
,8.65536838,52.5956,49.685354
,8.65603505,51.62511,49.382305
,8.65670172,48.50307,48.9461955
,8.6573684,51.80822,48.7873465
,8.65803507,52.53456,48.57036
,8.65870174,51.7655,48.156224
,8.65936841,50.77364,47.9364905
,8.66003508,49.99847,47.6984465
,8.66070176,52.99844,47.457198
,8.66136843,50.51118,47.146062
,8.6620351,49.49492,46.93228
,8.66270177,50.10529,46.712089
,8.66336844,48.52138,46.414686
,8.66403512,49.40031,46.226234
,8.66470179,47.03513,45.8975495
,8.66536846,48.61904,45.705283
,8.66603513,48.70754,45.4564045
,8.6667018,44.58144,45.1872315
,8.66736848,49.34843,45.082095
,8.66803515,44.77981,44.562212
,8.66870182,46.53462,44.448683
,8.66936849,42.90292,44.1399885
,8.67003516,45.32609,44.065981
,8.67070184,47.46849,43.778344
,8.67136851,44.25184,43.308206
,8.67203518,47.37083,43.148289
,8.67270185,46.01276,42.649159
,8.67336853,45.1735,42.331919
,8.6740352,46.77572,42.0017085
,8.67470187,46.23554,41.559953
,8.67536854,45.0911,41.2417975
,8.67603521,44.15723,40.881679
,8.67670189,44.75234,40.6706435
,8.67736856,42.82662,40.350352
,8.67803523,43.1898,40.098422
,8.6787019,43.64147,39.79873
,8.67936857,43.32408,39.5171965
,8.68003525,42.47871,39.1879015
,8.68070192,38.95077,39.0018915
,8.68136859,42.50923,38.9309365
,8.68203526,40.36073,38.621174
,8.68270193,41.42277,38.403272
,8.68336861,39.57335,38.104801
,8.68403528,38.06573,37.87637
,8.68470195,41.0535,37.7468195
,8.68536862,37.38823,37.3868535
,8.68603529,39.66796,37.2609645
,8.68670197,38.56929,36.876431
,8.68736864,37.94061,36.618092
,8.68803531,39.87243,36.405073
,8.68870198,37.88873,35.9926155
,8.68936865,39.93652,35.746026
,8.69003533,38.34651,35.3665285
,8.690702,37.78802,35.0897255
,8.69136867,37.19596,34.87106
,8.69203534,38.0108,34.5866275
,8.69270201,36.73818,34.4264055
,8.69336869,38.75851,34.1830205
,8.69403536,37.53167,33.804896
,8.69470203,36.31398,33.628651
,8.6953687,36.00269,33.334605
,8.69603537,35.45335,33.122501
,8.69670205,35.00473,32.948088
,8.69736872,35.47472,32.7138585
,8.69803539,33.85418,32.5926995
,8.69870206,34.87045,32.346415
,8.69936873,31.97729,32.216711
,8.70003541,33.40251,32.0368045
,8.70070208,33.68023,31.804406
,8.70136875,31.62328,31.58452
,8.70203542,32.95694,31.3922535
,8.70270209,32.34657,31.1342195
,8.70336877,32.81045,30.833307
,8.70403544,33.41471,30.5543675
,8.70470211,31.50731,30.26139
,8.70536878,34.80636,30.060273
,8.70603545,31.87048,29.610888
,8.70670213,31.19602,29.377574
,8.7073688,34.00677,29.1811875
,8.70803547,30.43306,28.79345
,8.70870214,31.76061,28.6883135
,8.70936881,31.96509,28.3744305
,8.71003549,30.32014,28.186589
,8.71070216,33.05154,28.0046985
,8.71136883,28.92849,27.6891375
,8.7120355,32.27637,27.661366
,8.71270217,28.37916,27.31727
,8.71336885,28.75454,27.3078095
,8.71403552,29.28251,27.179479
,8.71470219,27.77795,26.928159
,8.71536886,27.79626,26.8163085
,8.71603553,26.32832,26.624042
,8.71670221,27.23166,26.593218
,8.71736888,27.55516,26.351054
,8.71803555,27.48497,26.236915
,8.71870222,25.81866,26.03534
,8.71936889,27.2042,25.8647415
,8.72003557,27.26829,25.624561
,8.72070224,26.25202,25.1936395
,8.72136891,28.33033,24.9505595
,8.72203558,25.48295,24.5789965
,8.72270225,28.20826,24.468367
,8.72336893,26.68233,24.045075
,8.7240356,26.74032,23.8045895
,8.72470227,28.37306,23.53328
,8.72536894,25.39445,23.332163
,8.72603561,28.18995,23.238929
,8.72670229,26.18793,22.8289125
,8.72736896,24.25611,22.685628
,8.72803563,25.54094,22.54036
,8.7287023,23.95093,22.262184
,8.72936897,25.71184,22.098452
,8.73003565,22.38838,21.7403175
,8.73070232,25.27238,21.719565
,8.73136899,23.45347,21.443067
,8.73203566,22.40669,21.252479
,8.73270233,22.40059,21.1870165
,8.73336901,18.64986,21.0071095
,8.73403568,21.39042,20.9105185
,8.73470235,20.89907,20.7951585
,8.73536902,23.27036,20.6080805
,8.73603569,19.74242,20.278786
,8.73670237,21.87262,20.0917075
,8.73736904,21.31413,19.8117
,8.73803571,24.35072,19.5548865
,8.73870238,23.52977,19.033783
,8.73936905,19.98962,18.618884
,8.74003573,23.32224,18.4276855
,8.7407024,21.35075,17.993255
,8.74136907,19.97742,17.7043975
,8.74203574,20.67629,17.494125
,8.74270241,18.54915,17.2606585
,8.74336909,21.97333,17.1341595
,8.74403576,19.74242,16.720481
,8.74470243,19.64171,16.5472885
,8.7453691,21.09744,16.2631615
,8.74603577,18.80245,15.8742035
,8.74670245,16.71804,15.7222215
,8.74736912,19.08322,15.551165
,8.74803579,17.15751,15.161749
,8.74870246,16.68447,14.9411
,8.74936913,16.00085,14.716789
,8.75003581,16.27247,14.534899
